2022-12-20 17:14:50.384 [main] INFO  com.example.demo.SpringbootEmailApplication - Starting SpringbootEmailApplication on chaeui-MacBookPro.local with PID 7647 (/Users/blake/IdeaProjects/email/target/classes started by blake in /Users/blake/IdeaProjects/email)
2022-12-20 17:14:50.385 [main] INFO  com.example.demo.SpringbootEmailApplication - No active profile set, falling back to default profiles: default
2022-12-20 17:14:50.646 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'executorConfig' of type [com.example.demo.config.ExecutorConfig$$EnhancerBySpringCGLIB$$d1bdb4f5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-12-20 17:14:50.763 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-12-20 17:14:50.769 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-12-20 17:14:50.774 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-12-20 17:14:50.775 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.19]
2022-12-20 17:14:50.818 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-12-20 17:14:50.818 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 415 ms
2022-12-20 17:14:50.854 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2022-12-20 17:14:50.854 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'EmailAsync'
2022-12-20 17:14:51.005 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-12-20 17:14:51.017 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-12-20 17:14:51.019 [main] INFO  com.example.demo.SpringbootEmailApplication - Started SpringbootEmailApplication in 0.807 seconds (JVM running for 1.04)
2022-12-20 17:14:53.445 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-12-20 17:14:53.446 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-12-20 17:14:53.449 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2022-12-20 17:14:53.491 [EmailAsyncExecutor-1] INFO  com.example.demo.service.impl.MailServiceImpl - 첨부파일 메일전송 시작:luxury515@naver.com,,,/Users/blake/IdeaProjects/email/upload/image.png
2022-12-20 17:14:57.360 [EmailAsyncExecutor-1] INFO  com.example.demo.service.impl.MailServiceImpl - 첨부파일 메일전송 성공!
2022-12-20 18:08:48.506 [EmailAsyncExecutor-2] INFO  com.example.demo.service.impl.MailServiceImpl - 첨부파일 메일전송 시작:luxury515@naver.com,신비한 비 블리그 에서 springboot 관련 강좌!,신비한 비 블리그 에서 springboot 관련 강좌가 업로드 되었습니다. 빨리 확인 해보세요!,/Users/blake/IdeaProjects/email/upload/image.png
2022-12-20 18:08:53.100 [EmailAsyncExecutor-2] INFO  com.example.demo.service.impl.MailServiceImpl - 첨부파일 메일전송 성공!
2022-12-20 18:37:13.353 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'EmailAsync'
